cid,crystal,inspiration_hits,rmsd_via_combine,n_inspirations,rmsd_via_place,n_inspiration_str,category,SMILES,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,ddG,num_heavy_atoms,LE
JAN-GHE-5a013bed-4,x10604,x0678,1.2820226207052667,1,1.4873691233486428,one,non-covalent,O=C(Cc1cccc(Cl)c1)Nn1cn[nH]c1=O,0.8783403771783569,1.2820226207052667,2.4734569164727853,-2.107741109873132,17,-0.12398477116900775
EDG-MED-0da5ad92-1,x11041,x0434,0.2572819465100492,1,1.2381541957688469,one,non-covalent,Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,0.6000837962318263,0.40121230352520343,0.4835529144288466,-1.538314494584938,19,-0.08096392076762832
EDG-MED-0da5ad92-2,x10201,x0434,0.2786489228800684,1,0.5205563129960102,one,non-covalent,O=C(Cc1cccc(Cl)c1)Nc1cccnc1,0.9987090730037451,1.280829223589156,1.7954980793476716,-0.7670997122440895,17,-0.04512351248494644
EDG-MED-0da5ad92-5,x11557,x0434,,1,,one,non-covalent,Cc1ccncc1NC(=O)C(CO)c1cccc(Cl)c1,,,,,20,
EDG-MED-0da5ad92-7,x11562,x0434,0.3045430091866243,1,0.4548796544142199,one,non-covalent,CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,0.5891048293809854,0.45487965441421996,1.8513883509644744,-0.4588440789559627,23,-0.019949742563302727
EDG-MED-0da5ad92-8,x10723,x0434,0.2430468633366364,1,0.6422140738621872,one,non-covalent,Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,0.5296398540517887,0.440903830216976,0.4971270796620652,-1.5176813490452332,18,-0.08431563050251295
EDG-MED-0da5ad92-10,x10422,x0434,0.4451427985614403,1,1.3322239395086697,one,non-covalent,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,0.6678077942042903,1.3322239395086697,1.7822106216718607,-1.4180560921017786,20,-0.07090280460508894
EDG-MED-0da5ad92-11,x10392,x0434,0.3683790318559284,1,1.2843139949015585,one,non-covalent,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,0.6261654633561323,1.2843139949015583,1.6997904870895117,-1.643153510468892,20,-0.08215767552344459
EDG-MED-0da5ad92-12,x10976,x0434,0.2327922297290482,1,1.260450688246073,one,non-covalent,Cc1cncc(NC(=O)Cc2cccc(Cl)c2)c1,0.5465125227293517,0.4443365138045714,0.4199765866489862,-1.4505318133960827,18,-0.08058510074422681
EDG-MED-0da5ad92-15,x11485,x0434,0.2542609388010668,1,0.4062891519595374,one,non-covalent,Cc1ccnnc1NC(=O)Cc1cccc(Cl)c1,0.5616802359884134,1.2463239446468164,1.7755549523709169,0.0,18,0.0
EDG-MED-0da5ad92-16,x11013,x0434,0.2453950896004232,1,0.4279398322194373,one,non-covalent,Cc1cnncc1NC(=O)Cc1cccc(Cl)c1,0.5625579414602554,1.2566089288239197,1.7619409909402628,0.0,18,0.0
EDG-MED-0da5ad92-18,x10494,x0434,0.2525320661707033,1,0.4579385875857157,one,non-covalent,Cc1ccnc(N)c1NC(=O)Cc1cccc(Cl)c1,0.9974260624226741,1.2504222286891733,1.6182085774089812,-1.4698213578967625,19,-0.0773590188366717
EDG-MED-0da5ad92-21,x11025,x0434,0.5027787073568536,1,1.323079905939169,one,non-covalent,Cc1[nH]ncc1NC(=O)Cc1cccc(Cl)c1,0.9486978905320703,1.365375894518917,1.7591648753950069,-0.41684445016494465,17,-0.024520261774408508
BRU-LEF-c49414a7-1,x10756,"x0107,x0434",0.3361463966785902,2,1.0410665827071914,two,non-covalent,Cc1ccncc1NC(=O)Cc1cccc(OC2CC(=O)N2)c1,0.5742369816644612,0.5793633159355638,2.072296059090433,-3.8770349945993985,23,-0.168566738895626
EDJ-MED-49816e9b-1,x11011,"x0434,x0678",0.7883673706534988,2,6.822176306905297,two,non-covalent,Cc1ccncc1CC(=O)Nc1cccc(Cl)c1,0.6508428189662997,6.737345958350365,7.103188263026681,-0.8196792976311826,18,-0.04553773875728792
EDJ-MED-49816e9b-2,x10334,"x0434,x0678",0.2765077857051324,2,1.4133209118951011,two,non-covalent,Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1,0.7107585736380531,0.7599101920621939,0.8286443272313108,-1.429393600722733,19,-0.07523124214330174
RAL-MED-2de63afb-1,x10371,x1493,7.408984937223183,1,7.424047525889544,one,non-covalent,O=C(Cc1cccnc1)Nc1cccc(OC2CC(=O)N2)c1,3.0439963863316266,7.395360257170258,10.709422953642273,0.0,22,0.0
RAL-MED-2de63afb-2,x10322,x1493,6.951458659878516,1,7.117814420522637,one,non-covalent,Cc1cc(NC(=O)Cc2cncnc2)cc(OC2CC(=O)N2)c1,1.7877198965641765,7.36244286904829,13.201892125587612,0.0,23,0.0
RAL-MED-2de63afb-14,x10387,x1493,7.006777772271646,1,7.040909600328639,one,non-covalent,O=C(Cc1cncnc1)Nc1cc(F)cc(OC2CC(=O)N2)c1,2.038813100100855,7.3736392755997135,10.772809887376887,-1.575299267723267,23,-0.06849127250970725
NAU-LAT-445f63e5-6,x10800,x0434,2.284056552131171,1,2.5789503557649187,one,non-covalent,O=C(Nc1cccnc1)NC1(Cc2ccccc2)CCOCC1,0.5264689568246168,2.5789503557649187,3.2513860322076154,-1.5776712712370227,23,-0.06859440309726185
EDJ-MED-78f964c8-1,x3303,x0678,8.011988454809456,1,7.434108965512351,one,non-covalent,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,1.6210760143942802,8.174101632595475,7.165314290385315,0.0,25,0.0
EDJ-MED-6af13d92-1,x11313,x0678,9.045401373073505,1,8.690204053990907,one,non-covalent,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(C)c12,1.192422534171507,9.190283113935376,8.694679250508942,0.0,26,0.0
EDJ-MED-6af13d92-2,x11276,x0678,,1,,one,non-covalent,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(F)c12,,,,,26,
EDJ-MED-6af13d92-3,x11294,x0678,8.202194967550716,1,7.817587223689929,one,non-covalent,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12,1.3352164618517852,7.577411179408056,7.790441110983618,0.0,27,0.0
MIC-UNK-66895286-1,x11532,x0678,,1,,one,non-covalent,O=C(Cc1cccc(Cl)c1)Nc1cn[nH]c1,,,,,16,
MIC-UNK-66895286-3,x11540,x0678,,1,,one,non-covalent,Cc1[nH]ncc1CC(=O)Nc1cccc(Cl)c1,,,,,17,
MIC-UNK-deda7a44-5,x11186,x0434,2.01384031972084,1,0.6537286803407054,one,non-covalent,O=C(Nc1nncn1C1CC1)C1COc2ccc(Cl)cc21,1.121302089091071,1.3896347241871392,2.510104655378413,0.0,21,0.0
